CVE ID,Ransomware Group Association,,,,,
CVE-2019-11539,"Black Kingdom, Maze, Netwalker (MailTo), Pay2Key, REvil (Sodinokibi), Sekhmet",,,,,
CVE-2019-11634,Nefilim (Nemty),,,,,
CVE-2019-1183,Buran,,,,,
CVE-2019-1194,Buran,,,,,
CVE-2019-1208,Buran,,,,,
CVE-2019-1215,Conti,,,,,
CVE-2019-1224,"Egregor, Maze, REvil (Sodinokibi)",,,,,
CVE-2019-1225,"Egregor, Maze, REvil (Sodinokibi)",,,,,
CVE-2019-1236,Buran,,,,,
CVE-2019-1239,Buran,,,,,
CVE-2019-1253,Conti,,,,,
CVE-2019-1315,Conti,,,,,
CVE-2019-1322,Conti,,,,,
CVE-2019-13608,Nefilim (Nemty),,,,,
CVE-2019-1367,Magniber,,,,,
CVE-2019-1385,Conti,,,,,
CVE-2019-1388,Conti,,,,,
CVE-2019-1405,Conti,,,,,
CVE-2019-1458,"Conti, Netwalker (MailTo)",,,,,
CVE-2019-1489,"Egregor, Maze",,,,,
CVE-2019-1579,"Conti, DarkRadiation, Pay2Key",,,,,
CVE-2019-16057,Cr1ptT0r,,,,,
CVE-2019-16098,BlackByte,,,,,
CVE-2019-16647,Bitpaymer,,,,,
CVE-2019-16920,Cyborg,,,,,
CVE-2019-18935,"Netwalker (MailTo), REvil (Sodinokibi)",,,,,
CVE-2019-19781,"AKO, Clop, DoppelPaymer, Nefilim (Nemty), NOTROBIN, Pay2Key, Ragnorok, REvil (Sodinokibi), Vated Loader",,,,,
CVE-2019-2725,REvil (Sodinokibi),,,,,
CVE-2019-2729,REvil (Sodinokibi),,,,,
CVE-2019-3396,GandCrab,,,,,
CVE-2019-5039,ASN1,,,,,
CVE-2019-5544,"Darkside, ESXiArgs",,,,,
CVE-2019-5591,Unidentified,,,,,
CVE-2019-6109,Ryuk,,,,,
CVE-2019-6110,Ryuk,,,,,
CVE-2019-6111,Ryuk,,,,,
CVE-2019-7192,eCh0raix,,,,,
CVE-2019-7193,eCh0raix,,,,,
CVE-2019-7194,eCh0raix,,,,,
CVE-2019-7195,eCh0raix,,,,,
CVE-2019-7481,"BlackCat (ALPHV), HelloKitty (FiveHands)",,,,,
CVE-2020-0601,"BigBossHorse, Cerber, Conti, Vice Society",,,,,
CVE-2020-0609,"Conti, Egregor, Maze, REvil (Sodinokibi)",,,,,
CVE-2020-0610,"Egregor, Maze, REvil (Sodinokibi)",,,,,
CVE-2020-0638,Conti,,,,,
CVE-2020-0688,"Conti, Egregor, IsaacWiper, Maze",,,,,
CVE-2020-0787,"Conti, LockBit, Nokoyawa",,,,,
